time,Step_Input,Underdamped,Critical,Overdamped
3.13,1,1.20543,0.627617,0.390932
3.14,1,1.21122,0.630144,0.392561
3.15,1,1.21695,0.632658,0.394186
3.16,1,1.22265,0.635157,0.395806
3.17,1,1.2283,0.637644,0.397422
3.18,1,1.2339,0.640117,0.399034
3.19,1,1.23946,0.642577,0.400641
3.2,1,1.24497,0.645024,0.402244
3.21,1,1.25044,0.647457,0.403843
3.22,1,1.25585,0.649877,0.405437
3.23,1,1.26123,0.652284,0.407028
3.24,1,1.26655,0.654677,0.408614
3.25,1,1.27183,0.657057,0.410196
3.26,1,1.27705,0.659424,0.411773
3.27,1,1.28223,0.661778,0.413347
3.28,1,1.28736,0.664119,0.414916
3.29,1,1.29245,0.666447,0.416481
3.3,1,1.29748,0.668761,0.418042
3.31,1,1.30246,0.671063,0.419599
3.32,1,1.30739,0.673352,0.421151
3.33,1,1.31227,0.675627,0.4227
3.34,1,1.31711,0.67789,0.424244
3.35,1,1.32189,0.68014,0.425785
3.36,1,1.32661,0.682377,0.427321
3.37,1,1.33129,0.684601,0.428853
3.38,1,1.33592,0.686812,0.430381
3.39,1,1.34049,0.68901,0.431905
3.4,1,1.34501,0.691196,0.433424
3.41,1,1.34948,0.693369,0.43494
3.42,1,1.3539,0.695529,0.436452
3.43,1,1.35826,0.697677,0.43796
3.44,1,1.36257,0.699812,0.439463
3.45,1,1.36683,0.701935,0.440963
3.46,1,1.37103,0.704045,0.442458
3.47,1,1.37518,0.706142,0.44395
3.48,1,1.37928,0.708227,0.445438
3.49,1,1.38332,0.7103,0.446922
3.5,1,1.3873,0.71236,0.448401
3.51,1,1.39124,0.714409,0.449877
3.52,1,1.39511,0.716444,0.451349
3.53,1,1.39894,0.718468,0.452817
3.54,1,1.4027,0.720479,0.454281
3.55,1,1.40642,0.722478,0.455741
3.56,1,1.41007,0.724465,0.457197
3.57,1,1.41367,0.72644,0.458649
3.58,1,1.41722,0.728403,0.460098
3.59,1,1.42071,0.730354,0.461542
3.6,1,1.42414,0.732293,0.462983
3.61,1,1.42752,0.73422,0.46442
3.62,1,1.43084,0.736136,0.465853
3.63,1,1.43411,0.738039,0.467282
