time,Setpoint__20C_,Room_Temp,Thermostat
81.8,20,9.99733,1
81.9,20,9.99735,1
82,20,9.99738,1
82.1,20,9.99741,1
82.2,20,9.99743,1
82.3,20,9.99746,1
82.4,20,9.99748,1
82.5,20,9.99751,1
82.6,20,9.99753,1
82.7,20,9.99756,1
82.8,20,9.99758,1
82.9,20,9.99761,1
83,20,9.99763,1
83.1,20,9.99765,1
83.2,20,9.99768,1
83.3,20,9.9977,1
83.4,20,9.99772,1
83.5,20,9.99775,1
83.6,20,9.99777,1
83.7,20,9.99779,1
83.8,20,9.99781,1
83.9,20,9.99784,1
84,20,9.99786,1
84.1,20,9.99788,1
84.2,20,9.9979,1
84.3,20,9.99792,1
84.4,20,9.99794,1
84.5,20,9.99796,1
84.6,20,9.99798,1
84.7,20,9.998,1
84.8,20,9.99802,1
84.9,20,9.99804,1
85,20,9.99806,1
85.1,20,9.99808,1
85.2,20,9.9981,1
85.3,20,9.99812,1
85.4,20,9.99814,1
85.5,20,9.99816,1
85.6,20,9.99818,1
85.7,20,9.9982,1
85.8,20,9.99821,1
85.9,20,9.99823,1
86,20,9.99825,1
86.1,20,9.99827,1
86.2,20,9.99828,1
86.3,20,9.9983,1
86.4,20,9.99832,1
86.5,20,9.99834,1
86.6,20,9.99835,1
86.7,20,9.99837,1
86.8,20,9.99838,1
86.9,20,9.9984,1
87,20,9.99842,1
87.1,20,9.99843,1
87.2,20,9.99845,1
87.3,20,9.99846,1
87.4,20,9.99848,1
87.5,20,9.99849,1
87.6,20,9.99851,1
87.7,20,9.99852,1
87.8,20,9.99854,1
87.9,20,9.99855,1
88,20,9.99857,1
88.1,20,9.99858,1
88.2,20,9.9986,1
88.3,20,9.99861,1
88.4,20,9.99863,1
88.5,20,9.99864,1
88.6,20,9.99865,1
88.7,20,9.99867,1
88.8,20,9.99868,1
88.9,20,9.99869,1
89,20,9.99871,1
89.1,20,9.99872,1
89.2,20,9.99873,1
89.3,20,9.99874,1
89.4,20,9.99876,1
89.5,20,9.99877,1
89.6,20,9.99878,1
89.7,20,9.99879,1
89.8,20,9.99881,1
89.9,20,9.99882,1
90,20,9.99883,1
90.1,20,9.99884,1
90.2,20,9.99885,1
90.3,20,9.99886,1
90.4,20,9.99888,1
90.5,20,9.99889,1
90.6,20,9.9989,1
90.7,20,9.99891,1
90.8,20,9.99892,1
90.9,20,9.99893,1
91,20,9.99894,1
91.1,20,9.99895,1
91.2,20,9.99896,1
91.3,20,9.99897,1
91.4,20,9.99898,1
91.5,20,9.99899,1
91.6,20,9.999,1
91.7,20,9.99901,1
91.8,20,9.99902,1
91.9,20,9.99903,1
92,20,9.99904,1
92.1,20,9.99905,1
92.2,20,9.99906,1
92.3,20,9.99907,1
92.4,20,9.99908,1
92.5,20,9.99909,1
92.6,20,9.9991,1
92.7,20,9.99911,1
92.8,20,9.99912,1
92.9,20,9.99913,1
93,20,9.99914,1
93.1,20,9.99914,1
93.2,20,9.99915,1
93.3,20,9.99916,1
93.4,20,9.99917,1
93.5,20,9.99918,1
93.6,20,9.99919,1
93.7,20,9.99919,1
93.8,20,9.9992,1
93.9,20,9.99921,1
94,20,9.99922,1
94.1,20,9.99923,1
94.2,20,9.99923,1
94.3,20,9.99924,1
94.4,20,9.99925,1
94.5,20,9.99926,1
94.6,20,9.99926,1
94.7,20,9.99927,1
94.8,20,9.99928,1
94.9,20,9.99929,1
95,20,9.99929,1
95.1,20,9.9993,1
95.2,20,9.99931,1
95.3,20,9.99931,1
95.4,20,9.99932,1
95.5,20,9.99933,1
95.6,20,9.99933,1
95.7,20,9.99934,1
95.8,20,9.99935,1
95.9,20,9.99935,1
96,20,9.99936,1
96.1,20,9.99937,1
96.2,20,9.99937,1
96.3,20,9.99938,1
96.4,20,9.99939,1
96.5,20,9.99939,1
96.6,20,9.9994,1
96.7,20,9.9994,1
96.8,20,9.99941,1
96.9,20,9.99942,1
97,20,9.99942,1
97.1,20,9.99943,1
97.2,20,9.99943,1
97.3,20,9.99944,1
97.4,20,9.99944,1
97.5,20,9.99945,1
97.6,20,9.99946,1
97.7,20,9.99946,1
97.8,20,9.99947,1
97.9,20,9.99947,1
98,20,9.99948,1
98.1,20,9.99948,1
98.2,20,9.99949,1
98.3,20,9.99949,1
98.4,20,9.9995,1
98.5,20,9.9995,1
98.6,20,9.99951,1
98.7,20,9.99951,1
98.8,20,9.99952,1
98.9,20,9.99952,1
99,20,9.99953,1
99.1,20,9.99953,1
99.2,20,9.99954,1
99.3,20,9.99954,1
99.4,20,9.99955,1
99.5,20,9.99955,1
99.6,20,9.99956,1
99.7,20,9.99956,1
99.8,20,9.99956,1
99.9,20,9.99957,1
100,20,9.99957,1
