time,Time_Domain,Frequency_Spectrum
0.521,0.951057,0.951057
0.522,1.0468,1.0468
0.523,1.1368,1.1368
0.524,1.21911,1.21911
0.525,1.29192,1.29192
0.526,1.35355,1.35355
0.527,1.40254,1.40254
0.528,1.43762,1.43762
0.529,1.45782,1.45782
0.53,1.46243,1.46243
0.531,1.45106,1.45106
0.532,1.42362,1.42362
0.533,1.38036,1.38036
0.534,1.32181,1.32181
0.535,1.24884,1.24884
0.536,1.16257,1.16257
0.537,1.06441,1.06441
0.538,0.955964,0.955964
0.539,0.839056,0.839056
0.54,0.715641,0.715641
0.541,0.587785,0.587785
0.542,0.45761,0.45761
0.543,0.327245,0.327245
0.544,0.198784,0.198784
0.545,0.0742319,0.0742319
0.546,-0.0445364,-0.0445364
0.547,-0.155819,-0.155819
0.548,-0.258122,-0.258122
0.549,-0.350195,-0.350195
0.55,-0.431054,-0.431054
0.551,-0.5,-0.5
0.552,-0.556635,-0.556635
0.553,-0.600861,-0.600861
0.554,-0.632885,-0.632885
0.555,-0.653198,-0.653198
0.556,-0.66257,-0.66257
0.557,-0.662017,-0.662017
0.558,-0.652775,-0.652775
0.559,-0.636262,-0.636262
0.56,-0.614044,-0.614044
0.561,-0.587785,-0.587785
0.562,-0.559207,-0.559207
0.563,-0.530039,-0.530039
0.564,-0.501973,-0.501973
0.565,-0.476621,-0.476621
0.566,-0.455464,-0.455464
0.567,-0.439819,-0.439819
0.568,-0.430803,-0.430803
0.569,-0.429299,-0.429299
0.57,-0.435932,-0.435932
0.571,-0.451057,-0.451057
0.572,-0.474739,-0.474739
0.573,-0.506759,-0.506759
0.574,-0.546611,-0.546611
0.575,-0.593518,-0.593518
0.576,-0.646447,-0.646447
0.577,-0.704134,-0.704134
0.578,-0.765119,-0.765119
0.579,-0.827779,-0.827779
0.58,-0.890366,-0.890366
0.581,-0.951057,-0.951057
0.582,-1.00799,-1.00799
0.583,-1.05934,-1.05934
0.584,-1.1033,-1.1033
