time,Speed_Setpoint,DC_Motor,Control_Signal,Error
3.37,1,1.02718,1,0.0938636
3.38,1,1.02731,1,0.0937324
3.39,1,1.02744,1,0.0936018
3.4,1,1.02756,1,0.0934719
3.41,1,1.02769,1,0.0933425
3.42,1,1.02782,1,0.0932138
3.43,1,1.02794,1,0.0930857
3.44,1,1.02807,1,0.0929582
3.45,1,1.02819,1,0.0928313
3.46,1,1.02831,1,0.092705
3.47,1,1.02843,1,0.0925793
3.48,1,1.02856,1,0.0924542
3.49,1,1.02868,1,0.0923297
3.5,1,1.0288,1,0.0922058
3.51,1,1.02892,1,0.0920825
3.52,1,1.02904,1,0.0919598
3.53,1,1.02916,1,0.0918377
3.54,1,1.02928,1,0.0917161
3.55,1,1.02939,1,0.0915952
3.56,1,1.02951,1,0.0914748
3.57,1,1.02963,1,0.0913549
3.58,1,1.02974,1,0.0912357
3.59,1,1.02986,1,0.091117
3.6,1,1.02998,1,0.0909989
3.61,1,1.03009,1,0.0908813
3.62,1,1.0302,1,0.0907644
3.63,1,1.03032,1,0.0906479
3.64,1,1.03043,1,0.090532
3.65,1,1.03054,1,0.0904167
3.66,1,1.03066,1,0.0903019
3.67,1,1.03077,1,0.0901877
3.68,1,1.03088,1,0.090074
3.69,1,1.03099,1,0.0899609
3.7,1,1.0311,1,0.0898483
3.71,1,1.03121,1,0.0897362
3.72,1,1.03132,1,0.0896247
3.73,1,1.03142,1,0.0895137
3.74,1,1.03153,1,0.0894032
3.75,1,1.03164,1,0.0892933
3.76,1,1.03175,1,0.0891839
3.77,1,1.03185,1,0.089075
3.78,1,1.03196,1,0.0889666
3.79,1,1.03206,1,0.0888587
3.8,1,1.03217,1,0.0887514
3.81,1,1.03227,1,0.0886446
3.82,1,1.03237,1,0.0885382
3.83,1,1.03248,1,0.0884324
3.84,1,1.03258,1,0.0883271
3.85,1,1.03268,1,0.0882223
3.86,1,1.03278,1,0.088118
3.87,1,1.03289,1,0.0880142
3.88,1,1.03299,1,0.0879109
3.89,1,1.03309,1,0.087808
3.9,1,1.03319,1,0.0877057
3.91,1,1.03329,1,0.0876038
3.92,1,1.03338,1,0.0875025
3.93,1,1.03348,1,0.0874016
3.94,1,1.03358,1,0.0873012
3.95,1,1.03368,1,0.0872013
3.96,1,1.03378,1,0.0871019
3.97,1,1.03387,1,0.0870029
3.98,1,1.03397,1,0.0869044
3.99,1,1.03406,1,0.0868064
4,1,1.03416,1,0.0867088
4.01,1,1.03425,1,0.0866117
4.02,1,1.03435,1,0.0865151
4.03,1,1.03444,1,0.0864189
4.04,1,1.03453,1,0.0863232
4.05,1,1.03463,1,0.0862279
4.06,1,1.03472,1,0.0861331
4.07,1,1.03481,1,0.0860388
4.08,1,1.0349,1,0.0859449
4.09,1,1.03499,1,0.0858515
4.1,1,1.03509,1,0.0857584
4.11,1,1.03518,1,0.0856659
4.12,1,1.03527,1,0.0855738
4.13,1,1.03535,1,0.0854821
4.14,1,1.03544,1,0.0853908
4.15,1,1.03553,1,0.0853
4.16,1,1.03562,1,0.0852097
4.17,1,1.03571,1,0.0851197
4.18,1,1.0358,1,0.0850302
4.19,1,1.03588,1,0.0849411
4.2,1,1.03597,1,0.0848524
4.21,1,1.03605,1,0.0847642
4.22,1,1.03614,1,0.0846764
4.23,1,1.03623,1,0.084589
4.24,1,1.03631,1,0.084502
4.25,1,1.03639,1,0.0844154
4.26,1,1.03648,1,0.0843293
4.27,1,1.03656,1,0.0842435
4.28,1,1.03665,1,0.0841582
4.29,1,1.03673,1,0.0840733
4.3,1,1.03681,1,0.0839887
4.31,1,1.03689,1,0.0839046
4.32,1,1.03697,1,0.0838209
4.33,1,1.03706,1,0.0837376
4.34,1,1.03714,1,0.0836546
4.35,1,1.03722,1,0.0835721
4.36,1,1.0373,1,0.08349
4.37,1,1.03738,1,0.0834082
4.38,1,1.03746,1,0.0833269
4.39,1,1.03754,1,0.0832459
4.4,1,1.03761,1,0.0831653
4.41,1,1.03769,1,0.0830851
4.42,1,1.03777,1,0.0830053
4.43,1,1.03785,1,0.0829259
4.44,1,1.03792,1,0.0828468
4.45,1,1.038,1,0.0827682
4.46,1,1.03808,1,0.0826899
4.47,1,1.03815,1,0.0826119
4.48,1,1.03823,1,0.0825344
4.49,1,1.0383,1,0.0824572
4.5,1,1.03838,1,0.0823804
4.51,1,1.03845,1,0.0823039
4.52,1,1.03853,1,0.0822278
4.53,1,1.0386,1,0.0821521
4.54,1,1.03868,1,0.0820767
4.55,1,1.03875,1,0.0820017
4.56,1,1.03882,1,0.0819271
4.57,1,1.03889,1,0.0818528
4.58,1,1.03897,1,0.0817789
4.59,1,1.03904,1,0.0817053
4.6,1,1.03911,1,0.081632
4.61,1,1.03918,1,0.0815592
4.62,1,1.03925,1,0.0814866
4.63,1,1.03932,1,0.0814144
4.64,1,1.03939,1,0.0813426
4.65,1,1.03946,1,0.0812711
4.66,1,1.03953,1,0.0811999
4.67,1,1.0396,1,0.0811291
4.68,1,1.03967,1,0.0810586
4.69,1,1.03974,1,0.0809885
4.7,1,1.0398,1,0.0809186
4.71,1,1.03987,1,0.0808492
4.72,1,1.03994,1,0.08078
4.73,1,1.04001,1,0.0807112
4.74,1,1.04007,1,0.0806427
4.75,1,1.04014,1,0.0805745
4.76,1,1.04021,1,0.0805067
4.77,1,1.04027,1,0.0804392
4.78,1,1.04034,1,0.080372
4.79,1,1.0404,1,0.0803051
4.8,1,1.04047,1,0.0802385
4.81,1,1.04053,1,0.0801723
4.82,1,1.0406,1,0.0801064
4.83,1,1.04066,1,0.0800408
4.84,1,1.04072,1,0.0799755
4.85,1,1.04079,1,0.0799105
4.86,1,1.04085,1,0.0798458
4.87,1,1.04091,1,0.0797815
4.88,1,1.04098,1,0.0797174
4.89,1,1.04104,1,0.0796536
4.9,1,1.0411,1,0.0795902
4.91,1,1.04116,1,0.079527
4.92,1,1.04122,1,0.0794642
4.93,1,1.04128,1,0.0794017
4.94,1,1.04134,1,0.0793394
4.95,1,1.0414,1,0.0792775
4.96,1,1.04146,1,0.0792158
4.97,1,1.04152,1,0.0791544
4.98,1,1.04158,1,0.0790934
4.99,1,1.04164,1,0.0790326
5,1,1.0417,1,0.0789721
5.01,1,1.04176,1,0.0789119
5.02,1,1.04182,1,0.078852
5.03,1,1.04188,1,0.0787924
5.04,1,1.04194,1,0.078733
5.05,1,1.04199,1,0.078674
5.06,1,1.04205,1,0.0786152
5.07,1,1.04211,1,0.0785567
5.08,1,1.04216,1,0.0784985
5.09,1,1.04222,1,0.0784405
5.1,1,1.04228,1,0.0783829
5.11,1,1.04233,1,0.0783255
5.12,1,1.04239,1,0.0782684
5.13,1,1.04244,1,0.0782115
5.14,1,1.0425,1,0.0781549
5.15,1,1.04255,1,0.0780986
5.16,1,1.04261,1,0.0780426
5.17,1,1.04266,1,0.0779868
5.18,1,1.04272,1,0.0779313
5.19,1,1.04277,1,0.0778761
5.2,1,1.04282,1,0.0778211
5.21,1,1.04288,1,0.0777664
5.22,1,1.04293,1,0.077712
5.23,1,1.04298,1,0.0776578
5.24,1,1.04304,1,0.0776038
5.25,1,1.04309,1,0.0775502
5.26,1,1.04314,1,0.0774967
5.27,1,1.04319,1,0.0774436
5.28,1,1.04324,1,0.0773907
5.29,1,1.0433,1,0.077338
5.3,1,1.04335,1,0.0772856
5.31,1,1.0434,1,0.0772334
5.32,1,1.04345,1,0.0771815
5.33,1,1.0435,1,0.0771299
5.34,1,1.04355,1,0.0770785
5.35,1,1.0436,1,0.0770273
5.36,1,1.04365,1,0.0769764
5.37,1,1.0437,1,0.0769257
5.38,1,1.04375,1,0.0768752
5.39,1,1.0438,1,0.076825
5.4,1,1.04384,1,0.0767751
5.41,1,1.04389,1,0.0767254
5.42,1,1.04394,1,0.0766759
5.43,1,1.04399,1,0.0766266
5.44,1,1.04404,1,0.0765776
5.45,1,1.04408,1,0.0765288
5.46,1,1.04413,1,0.0764803
5.47,1,1.04418,1,0.076432
5.48,1,1.04423,1,0.0763839
5.49,1,1.04427,1,0.076336
5.5,1,1.04432,1,0.0762884
5.51,1,1.04437,1,0.076241
5.52,1,1.04441,1,0.0761938
5.53,1,1.04446,1,0.0761469
5.54,1,1.0445,1,0.0761001
5.55,1,1.04455,1,0.0760536
5.56,1,1.04459,1,0.0760073
5.57,1,1.04464,1,0.0759613
5.58,1,1.04468,1,0.0759154
5.59,1,1.04473,1,0.0758698
5.6,1,1.04477,1,0.0758244
5.61,1,1.04482,1,0.0757792
5.62,1,1.04486,1,0.0757342
5.63,1,1.0449,1,0.0756895
5.64,1,1.04495,1,0.0756449
5.65,1,1.04499,1,0.0756006
5.66,1,1.04503,1,0.0755565
5.67,1,1.04508,1,0.0755126
5.68,1,1.04512,1,0.0754689
5.69,1,1.04516,1,0.0754254
5.7,1,1.0452,1,0.0753821
5.71,1,1.04524,1,0.075339
5.72,1,1.04529,1,0.0752961
5.73,1,1.04533,1,0.0752535
5.74,1,1.04537,1,0.075211
5.75,1,1.04541,1,0.0751687
5.76,1,1.04545,1,0.0751267
5.77,1,1.04549,1,0.0750848
5.78,1,1.04553,1,0.0750431
5.79,1,1.04557,1,0.0750017
5.8,1,1.04561,1,0.0749604
5.81,1,1.04565,1,0.0749193
5.82,1,1.04569,1,0.0748785
5.83,1,1.04573,1,0.0748378
5.84,1,1.04577,1,0.0747973
5.85,1,1.04581,1,0.074757
5.86,1,1.04585,1,0.0747169
5.87,1,1.04589,1,0.074677
5.88,1,1.04593,1,0.0746373
5.89,1,1.04597,1,0.0745978
