time,Reference,Plant
8.42,1,0.999853
8.43,1,0.999854
8.44,1,0.999855
8.45,1,0.999856
8.46,1,0.999857
8.47,1,0.999857
8.48,1,0.999858
8.49,1,0.999859
8.5,1,0.99986
8.51,1,0.999861
8.52,1,0.999861
8.53,1,0.999862
8.54,1,0.999863
8.55,1,0.999864
8.56,1,0.999865
8.57,1,0.999865
8.58,1,0.999866
8.59,1,0.999867
8.6,1,0.999868
8.61,1,0.999868
8.62,1,0.999869
8.63,1,0.99987
8.64,1,0.999871
8.65,1,0.999871
8.66,1,0.999872
8.67,1,0.999873
8.68,1,0.999874
8.69,1,0.999874
8.7,1,0.999875
8.71,1,0.999876
8.72,1,0.999876
8.73,1,0.999877
8.74,1,0.999878
8.75,1,0.999879
8.76,1,0.999879
8.77,1,0.99988
8.78,1,0.999881
8.79,1,0.999881
8.8,1,0.999882
8.81,1,0.999883
8.82,1,0.999883
8.83,1,0.999884
8.84,1,0.999885
8.85,1,0.999885
8.86,1,0.999886
8.87,1,0.999887
8.88,1,0.999887
8.89,1,0.999888
8.9,1,0.999889
8.91,1,0.999889
8.92,1,0.99989
8.93,1,0.999891
8.94,1,0.999891
8.95,1,0.999892
8.96,1,0.999892
8.97,1,0.999893
8.98,1,0.999894
8.99,1,0.999894
9,1,0.999895
9.01,1,0.999895
9.02,1,0.999896
9.03,1,0.999897
9.04,1,0.999897
9.05,1,0.999898
9.06,1,0.999898
9.07,1,0.999899
9.08,1,0.9999
9.09,1,0.9999
9.1,1,0.999901
9.11,1,0.999901
9.12,1,0.999902
9.13,1,0.999902
9.14,1,0.999903
9.15,1,0.999903
9.16,1,0.999904
9.17,1,0.999904
9.18,1,0.999905
9.19,1,0.999906
9.2,1,0.999906
9.21,1,0.999907
9.22,1,0.999907
9.23,1,0.999908
9.24,1,0.999908
9.25,1,0.999909
9.26,1,0.999909
9.27,1,0.99991
9.28,1,0.99991
9.29,1,0.999911
9.3,1,0.999911
9.31,1,0.999912
9.32,1,0.999912
9.33,1,0.999913
9.34,1,0.999913
9.35,1,0.999914
9.36,1,0.999914
9.37,1,0.999915
9.38,1,0.999915
9.39,1,0.999916
9.4,1,0.999916
9.41,1,0.999916
9.42,1,0.999917
9.43,1,0.999917
9.44,1,0.999918
9.45,1,0.999918
9.46,1,0.999919
9.47,1,0.999919
9.48,1,0.99992
9.49,1,0.99992
9.5,1,0.999921
9.51,1,0.999921
9.52,1,0.999921
9.53,1,0.999922
9.54,1,0.999922
9.55,1,0.999923
9.56,1,0.999923
9.57,1,0.999924
9.58,1,0.999924
9.59,1,0.999924
9.6,1,0.999925
9.61,1,0.999925
9.62,1,0.999926
9.63,1,0.999926
9.64,1,0.999926
9.65,1,0.999927
9.66,1,0.999927
9.67,1,0.999928
9.68,1,0.999928
9.69,1,0.999928
9.7,1,0.999929
9.71,1,0.999929
9.72,1,0.99993
9.73,1,0.99993
9.74,1,0.99993
