time,Step_Input,_1__s_1_
8.59,1,0.999494
8.6,1,0.999499
8.61,1,0.999504
8.62,1,0.999509
8.63,1,0.999514
8.64,1,0.999518
8.65,1,0.999523
8.66,1,0.999528
8.67,1,0.999533
8.68,1,0.999537
8.69,1,0.999542
8.7,1,0.999546
8.71,1,0.999551
8.72,1,0.999555
8.73,1,0.99956
8.74,1,0.999564
8.75,1,0.999569
8.76,1,0.999573
8.77,1,0.999577
8.78,1,0.999581
8.79,1,0.999585
8.8,1,0.99959
8.81,1,0.999594
8.82,1,0.999598
8.83,1,0.999602
8.84,1,0.999606
8.85,1,0.99961
8.86,1,0.999613
8.87,1,0.999617
8.88,1,0.999621
8.89,1,0.999625
8.9,1,0.999629
8.91,1,0.999632
8.92,1,0.999636
8.93,1,0.99964
8.94,1,0.999643
8.95,1,0.999647
8.96,1,0.99965
8.97,1,0.999654
8.98,1,0.999657
8.99,1,0.999661
9,1,0.999664
9.01,1,0.999667
9.02,1,0.999671
9.03,1,0.999674
9.04,1,0.999677
9.05,1,0.99968
9.06,1,0.999684
9.07,1,0.999687
9.08,1,0.99969
9.09,1,0.999693
9.1,1,0.999696
9.11,1,0.999699
9.12,1,0.999702
9.13,1,0.999705
9.14,1,0.999708
9.15,1,0.999711
9.16,1,0.999714
9.17,1,0.999717
9.18,1,0.999719
9.19,1,0.999722
9.2,1,0.999725
9.21,1,0.999728
9.22,1,0.99973
9.23,1,0.999733
9.24,1,0.999736
9.25,1,0.999738
9.26,1,0.999741
9.27,1,0.999743
9.28,1,0.999746
9.29,1,0.999749
9.3,1,0.999751
9.31,1,0.999754
9.32,1,0.999756
9.33,1,0.999758
9.34,1,0.999761
9.35,1,0.999763
9.36,1,0.999766
9.37,1,0.999768
9.38,1,0.99977
9.39,1,0.999772
9.4,1,0.999775
9.41,1,0.999777
9.42,1,0.999779
9.43,1,0.999781
9.44,1,0.999784
9.45,1,0.999786
9.46,1,0.999788
9.47,1,0.99979
9.48,1,0.999792
9.49,1,0.999794
9.5,1,0.999796
9.51,1,0.999798
9.52,1,0.9998
9.53,1,0.999802
9.54,1,0.999804
9.55,1,0.999806
9.56,1,0.999808
9.57,1,0.99981
9.58,1,0.999812
9.59,1,0.999814
9.6,1,0.999816
9.61,1,0.999817
9.62,1,0.999819
9.63,1,0.999821
9.64,1,0.999823
9.65,1,0.999825
9.66,1,0.999826
9.67,1,0.999828
9.68,1,0.99983
9.69,1,0.999831
9.7,1,0.999833
9.71,1,0.999835
9.72,1,0.999836
9.73,1,0.999838
9.74,1,0.99984
9.75,1,0.999841
9.76,1,0.999843
9.77,1,0.999844
9.78,1,0.999846
9.79,1,0.999847
9.8,1,0.999849
9.81,1,0.999851
9.82,1,0.999852
9.83,1,0.999853
9.84,1,0.999855
9.85,1,0.999856
9.86,1,0.999858
9.87,1,0.999859
9.88,1,0.999861
9.89,1,0.999862
9.9,1,0.999863
9.91,1,0.999865
9.92,1,0.999866
9.93,1,0.999867
9.94,1,0.999869
9.95,1,0.99987
9.96,1,0.999871
9.97,1,0.999873
9.98,1,0.999874
9.99,1,0.999875
10,1,0.999876
