time,Message__1_Hz_,Carrier__20_Hz_,AM_Signal
0.556,-0.27099,0.587785,0.587785
0.557,-0.275714,0.684547,0.684547
0.558,-0.280427,0.770513,0.770513
0.559,-0.28513,0.844328,0.844328
0.56,-0.28982,0.904827,0.904827
0.561,-0.2945,0.951057,0.951057
0.562,-0.299167,0.982287,0.982287
0.563,-0.303823,0.998027,0.998027
0.564,-0.308467,0.998027,0.998027
0.565,-0.313099,0.982287,0.982287
0.566,-0.317718,0.951057,0.951057
0.567,-0.322325,0.904827,0.904827
0.568,-0.326919,0.844328,0.844328
0.569,-0.3315,0.770513,0.770513
0.57,-0.336069,0.684547,0.684547
0.571,-0.340623,0.587785,0.587785
0.572,-0.345165,0.481754,0.481754
0.573,-0.349693,0.368125,0.368125
0.574,-0.354207,0.24869,0.24869
0.575,-0.358707,0.125333,0.125333
0.576,-0.363192,-5.0474e-14,-5.0474e-14
0.577,-0.367664,-0.125333,-0.125333
0.578,-0.372121,-0.24869,-0.24869
0.579,-0.376563,-0.368125,-0.368125
0.58,-0.380991,-0.481754,-0.481754
0.581,-0.385403,-0.587785,-0.587785
0.582,-0.3898,-0.684547,-0.684547
0.583,-0.394182,-0.770513,-0.770513
0.584,-0.398548,-0.844328,-0.844328
0.585,-0.402899,-0.904827,-0.904827
0.586,-0.407233,-0.951057,-0.951057
0.587,-0.411552,-0.982287,-0.982287
0.588,-0.415854,-0.998027,-0.998027
0.589,-0.42014,-0.998027,-0.998027
0.59,-0.424409,-0.982287,-0.982287
0.591,-0.428661,-0.951057,-0.951057
0.592,-0.432897,-0.904827,-0.904827
0.593,-0.437115,-0.844328,-0.844328
0.594,-0.441317,-0.770513,-0.770513
0.595,-0.4455,-0.684547,-0.684547
0.596,-0.449667,-0.587785,-0.587785
0.597,-0.453815,-0.481754,-0.481754
0.598,-0.457946,-0.368125,-0.368125
0.599,-0.462058,-0.24869,-0.24869
0.6,-0.466152,-0.125333,-0.125333
0.601,-0.470228,5.39043e-14,5.39043e-14
0.602,-0.474285,0.125333,0.125333
0.603,-0.478324,0.24869,0.24869
0.604,-0.482344,0.368125,0.368125
0.605,-0.486344,0.481754,0.481754
0.606,-0.490326,0.587785,0.587785
0.607,-0.494288,0.684547,0.684547
0.608,-0.49823,0.770513,0.770513
0.609,-0.502153,0.844328,0.844328
0.61,-0.506056,0.904827,0.904827
0.611,-0.509939,0.951057,0.951057
0.612,-0.513802,0.982287,0.982287
0.613,-0.517645,0.998027,0.998027
0.614,-0.521467,0.998027,0.998027
0.615,-0.525269,0.982287,0.982287
0.616,-0.529049,0.951057,0.951057
0.617,-0.532809,0.904827,0.904827
0.618,-0.536548,0.844328,0.844328
