time,Reference,Plant_G_s_,Uncompensated,Compensator_Output
5.89,1,0.503047,0.955638,0.496916
5.9,1,0.502971,0.956004,0.496991
5.91,1,0.502897,0.956368,0.497066
5.92,1,0.502824,0.956729,0.49714
5.93,1,0.502751,0.957087,0.497213
5.94,1,0.50268,0.957443,0.497285
5.95,1,0.502609,0.957795,0.497356
5.96,1,0.502539,0.958145,0.497426
5.97,1,0.50247,0.958492,0.497496
5.98,1,0.502402,0.958836,0.497564
5.99,1,0.502335,0.959177,0.497632
6,1,0.502268,0.959516,0.497699
6.01,1,0.502203,0.959852,0.497765
6.02,1,0.502138,0.960185,0.49783
6.03,1,0.502074,0.960516,0.497894
6.04,1,0.502011,0.960844,0.497957
6.05,1,0.501949,0.96117,0.49802
6.06,1,0.501888,0.961492,0.498081
6.07,1,0.501828,0.961813,0.498142
6.08,1,0.501768,0.96213,0.498202
6.09,1,0.501709,0.962445,0.498262
6.1,1,0.501651,0.962758,0.49832
6.11,1,0.501594,0.963068,0.498377
6.12,1,0.501538,0.963376,0.498434
6.13,1,0.501482,0.963681,0.49849
6.14,1,0.501428,0.963984,0.498545
6.15,1,0.501374,0.964284,0.4986
6.16,1,0.501321,0.964582,0.498653
6.17,1,0.501268,0.964877,0.498706
6.18,1,0.501217,0.96517,0.498758
6.19,1,0.501166,0.965461,0.498809
6.2,1,0.501116,0.965749,0.498859
6.21,1,0.501067,0.966036,0.498909
6.22,1,0.501018,0.966319,0.498958
6.23,1,0.50097,0.966601,0.499006
6.24,1,0.500923,0.96688,0.499053
6.25,1,0.500877,0.967157,0.4991
6.26,1,0.500832,0.967432,0.499146
6.27,1,0.500787,0.967704,0.499191
6.28,1,0.500743,0.967975,0.499235
6.29,1,0.500699,0.968243,0.499279
6.3,1,0.500657,0.968509,0.499322
6.31,1,0.500615,0.968773,0.499364
6.32,1,0.500574,0.969034,0.499406
6.33,1,0.500533,0.969294,0.499447
6.34,1,0.500493,0.969551,0.499487
6.35,1,0.500454,0.969807,0.499526
6.36,1,0.500416,0.97006,0.499565
6.37,1,0.500378,0.970312,0.499603
6.38,1,0.500341,0.970561,0.499641
6.39,1,0.500305,0.970808,0.499677
6.4,1,0.500269,0.971053,0.499713
6.41,1,0.500234,0.971296,0.499749
6.42,1,0.500199,0.971538,0.499784
6.43,1,0.500166,0.971777,0.499818
6.44,1,0.500132,0.972014,0.499851
6.45,1,0.5001,0.97225,0.499884
6.46,1,0.500068,0.972483,0.499916
6.47,1,0.500037,0.972715,0.499948
6.48,1,0.500006,0.972945,0.499979
6.49,1,0.499976,0.973173,0.500009
6.5,1,0.499946,0.973399,0.500039
6.51,1,0.499917,0.973623,0.500068
6.52,1,0.499889,0.973845,0.500097
6.53,1,0.499861,0.974066,0.500125
6.54,1,0.499834,0.974284,0.500153
6.55,1,0.499807,0.974501,0.500179
6.56,1,0.499781,0.974716,0.500206
6.57,1,0.499756,0.97493,0.500231
6.58,1,0.499731,0.975141,0.500257
6.59,1,0.499707,0.975351,0.500281
6.6,1,0.499683,0.97556,0.500305
6.61,1,0.499659,0.975766,0.500329
6.62,1,0.499637,0.975971,0.500352
6.63,1,0.499614,0.976174,0.500375
6.64,1,0.499593,0.976376,0.500397
6.65,1,0.499571,0.976575,0.500418
6.66,1,0.499551,0.976774,0.500439
6.67,1,0.49953,0.97697,0.50046
6.68,1,0.499511,0.977165,0.50048
6.69,1,0.499491,0.977358,0.500499
6.7,1,0.499473,0.97755,0.500518
6.71,1,0.499454,0.97774,0.500537
6.72,1,0.499436,0.977929,0.500555
6.73,1,0.499419,0.978116,0.500572
6.74,1,0.499402,0.978302,0.500589
6.75,1,0.499386,0.978486,0.500606
6.76,1,0.49937,0.978668,0.500622
6.77,1,0.499354,0.978849,0.500638
6.78,1,0.499339,0.979029,0.500654
6.79,1,0.499324,0.979207,0.500668
6.8,1,0.49931,0.979383,0.500683
6.81,1,0.499296,0.979558,0.500697
6.82,1,0.499283,0.979732,0.500711
6.83,1,0.49927,0.979904,0.500724
6.84,1,0.499257,0.980075,0.500737
