time,Setpoint,Plant__PI_,Plant__PD_,PI_Controller,PD_Controller
4.47,1,0.5,0.981308,1,1.96262
4.48,1,0.5,0.981308,1,1.96262
4.49,1,0.5,0.981308,1,1.96262
4.5,1,0.5,0.981308,1,1.96262
4.51,1,0.5,0.981308,1,1.96262
4.52,1,0.5,0.981308,1,1.96262
4.53,1,0.5,0.981308,1,1.96262
4.54,1,0.5,0.981308,1,1.96262
4.55,1,0.5,0.981308,1,1.96262
4.56,1,0.5,0.981308,1,1.96262
4.57,1,0.5,0.981308,1,1.96262
4.58,1,0.5,0.981308,1,1.96262
4.59,1,0.5,0.981308,1,1.96262
4.6,1,0.5,0.981308,1,1.96262
4.61,1,0.5,0.981308,1,1.96262
4.62,1,0.5,0.981308,1,1.96262
4.63,1,0.5,0.981308,1,1.96262
4.64,1,0.5,0.981308,1,1.96262
4.65,1,0.5,0.981308,1,1.96262
4.66,1,0.5,0.981308,1,1.96262
4.67,1,0.5,0.981308,1,1.96262
4.68,1,0.5,0.981308,1,1.96262
4.69,1,0.5,0.981308,1,1.96262
4.7,1,0.5,0.981308,1,1.96262
4.71,1,0.5,0.981308,1,1.96262
4.72,1,0.5,0.981308,1,1.96262
4.73,1,0.5,0.981308,1,1.96262
4.74,1,0.5,0.981308,1,1.96262
4.75,1,0.5,0.981308,1,1.96262
4.76,1,0.5,0.981308,1,1.96262
4.77,1,0.5,0.981308,1,1.96262
4.78,1,0.5,0.981308,1,1.96262
4.79,1,0.5,0.981308,1,1.96262
4.8,1,0.5,0.981308,1,1.96262
4.81,1,0.5,0.981308,1,1.96262
4.82,1,0.5,0.981308,1,1.96262
4.83,1,0.5,0.981308,1,1.96262
4.84,1,0.5,0.981308,1,1.96262
4.85,1,0.5,0.981308,1,1.96262
4.86,1,0.5,0.981308,1,1.96262
4.87,1,0.5,0.981308,1,1.96262
4.88,1,0.5,0.981308,1,1.96262
4.89,1,0.5,0.981308,1,1.96262
4.9,1,0.5,0.981308,1,1.96262
4.91,1,0.5,0.981308,1,1.96262
4.92,1,0.5,0.981308,1,1.96262
4.93,1,0.5,0.981308,1,1.96262
4.94,1,0.5,0.981308,1,1.96262
4.95,1,0.5,0.981308,1,1.96262
4.96,1,0.5,0.981308,1,1.96262
4.97,1,0.5,0.981308,1,1.96262
4.98,1,0.5,0.981308,1,1.96262
4.99,1,0.5,0.981308,1,1.96262
5,1,0.5,0.981308,1,1.96262
5.01,1,0.5,0.981308,1,1.96262
5.02,1,0.5,0.981308,1,1.96262
5.03,1,0.5,0.981308,1,1.96262
5.04,1,0.5,0.981308,1,1.96262
5.05,1,0.5,0.981308,1,1.96262
5.06,1,0.5,0.981308,1,1.96262
5.07,1,0.5,0.981308,1,1.96262
5.08,1,0.5,0.981308,1,1.96262
5.09,1,0.5,0.981308,1,1.96262
5.1,1,0.5,0.981308,1,1.96262
5.11,1,0.5,0.981308,1,1.96262
5.12,1,0.5,0.981308,1,1.96262
5.13,1,0.5,0.981308,1,1.96262
5.14,1,0.5,0.981308,1,1.96262
5.15,1,0.5,0.981308,1,1.96262
5.16,1,0.5,0.981308,1,1.96262
5.17,1,0.5,0.981308,1,1.96262
5.18,1,0.5,0.981308,1,1.96262
5.19,1,0.5,0.981308,1,1.96262
5.2,1,0.5,0.981308,1,1.96262
5.21,1,0.5,0.981308,1,1.96262
5.22,1,0.5,0.981308,1,1.96262
5.23,1,0.5,0.981308,1,1.96262
5.24,1,0.5,0.981308,1,1.96262
5.25,1,0.5,0.981308,1,1.96262
5.26,1,0.5,0.981308,1,1.96262
5.27,1,0.5,0.981308,1,1.96262
5.28,1,0.5,0.981308,1,1.96262
5.29,1,0.5,0.981308,1,1.96262
5.3,1,0.5,0.981308,1,1.96262
5.31,1,0.5,0.981308,1,1.96262
5.32,1,0.5,0.981308,1,1.96262
5.33,1,0.5,0.981308,1,1.96262
5.34,1,0.5,0.981308,1,1.96262
5.35,1,0.5,0.981308,1,1.96262
5.36,1,0.5,0.981308,1,1.96262
5.37,1,0.5,0.981308,1,1.96262
5.38,1,0.5,0.981308,1,1.96262
5.39,1,0.5,0.981308,1,1.96262
5.4,1,0.5,0.981308,1,1.96262
5.41,1,0.5,0.981308,1,1.96262
5.42,1,0.5,0.981308,1,1.96262
5.43,1,0.5,0.981308,1,1.96262
5.44,1,0.5,0.981308,1,1.96262
5.45,1,0.5,0.981308,1,1.96262
5.46,1,0.5,0.981308,1,1.96262
5.47,1,0.5,0.981308,1,1.96262
5.48,1,0.5,0.981308,1,1.96262
5.49,1,0.5,0.981308,1,1.96262
5.5,1,0.5,0.981308,1,1.96262
5.51,1,0.5,0.981308,1,1.96262
5.52,1,0.5,0.981308,1,1.96262
5.53,1,0.5,0.981308,1,1.96262
5.54,1,0.5,0.981308,1,1.96262
5.55,1,0.5,0.981308,1,1.96262
5.56,1,0.5,0.981308,1,1.96262
5.57,1,0.5,0.981308,1,1.96262
5.58,1,0.5,0.981308,1,1.96262
5.59,1,0.5,0.981308,1,1.96262
5.6,1,0.5,0.981308,1,1.96262
5.61,1,0.5,0.981308,1,1.96262
5.62,1,0.5,0.981308,1,1.96262
5.63,1,0.5,0.981308,1,1.96262
5.64,1,0.5,0.981308,1,1.96262
5.65,1,0.5,0.981308,1,1.96262
5.66,1,0.5,0.981308,1,1.96262
5.67,1,0.5,0.981308,1,1.96262
5.68,1,0.5,0.981308,1,1.96262
5.69,1,0.5,0.981308,1,1.96262
5.7,1,0.5,0.981308,1,1.96262
5.71,1,0.5,0.981308,1,1.96262
5.72,1,0.5,0.981308,1,1.96262
5.73,1,0.5,0.981308,1,1.96262
5.74,1,0.5,0.981308,1,1.96262
5.75,1,0.5,0.981308,1,1.96262
5.76,1,0.5,0.981308,1,1.96262
5.77,1,0.5,0.981308,1,1.96262
5.78,1,0.5,0.981308,1,1.96262
5.79,1,0.5,0.981308,1,1.96262
5.8,1,0.5,0.981308,1,1.96262
5.81,1,0.5,0.981308,1,1.96262
5.82,1,0.5,0.981308,1,1.96262
5.83,1,0.5,0.981308,1,1.96262
5.84,1,0.5,0.981308,1,1.96262
5.85,1,0.5,0.981308,1,1.96262
5.86,1,0.5,0.981308,1,1.96262
5.87,1,0.5,0.981308,1,1.96262
5.88,1,0.5,0.981308,1,1.96262
5.89,1,0.5,0.981308,1,1.96262
5.9,1,0.5,0.981308,1,1.96262
5.91,1,0.5,0.981308,1,1.96262
5.92,1,0.5,0.981308,1,1.96262
5.93,1,0.5,0.981308,1,1.96262
5.94,1,0.5,0.981308,1,1.96262
5.95,1,0.5,0.981308,1,1.96262
5.96,1,0.5,0.981308,1,1.96262
5.97,1,0.5,0.981308,1,1.96262
5.98,1,0.5,0.981308,1,1.96262
